End Use,,Unregulated?,Energy Type,"Units of 
Annual Energy and Peak Demand",Baseline 0° rotation,Baseline 90° rotation,Baseline 180° rotation,Baseline 270° rotation,"Baseline Design Total
 (Average of 4 rotations)",Proposed,, 
Interior lighting,,,Electricity,Consumption (kWh),,,,,,,,
,,,,Demand (kW),,,,,,,,
Exterior lighting,,,Electricity,Consumption (kWh),,,,,,,,
,,,,Demand (kW),,,,,,,,
Space heating,,,Electricity,Consumption (kWh),,,,,,,,
,,,,Demand (kW),,,,,,,,
Space cooling,,,Electricity,Consumption (kWh),,,,,,,,
,,,,Demand (kW),,,,,,,,
Pumps,,,Electricity,Consumption (kWh),,,,,,,,
,,,,Demand (kW),,,,,,,,
Heat rejection,,,Electricity,Consumption (kWh),,,,,,,,
,,,,Demand (kW),,,,,,,,
Fans - interior ventilation,,,Electricity,Consumption (kWh),,,,,,,,
,,,,Demand (kW),,,,,,,,
Fans - parking garage,,x,Electricity,Consumption (kWh),,,,,,,,
,,,,Demand (kW),,,,,,,,
Service water heating,,,Electricity,Consumption (kWh),,,,,,,,
,,,,Demand (kW),,,,,,,,
Receptacle equipment,,x,Electricity,Consumption (kWh),,,,,,,,
,,,,Demand (kW),,,,,,,,
IT equipment,,x,Electricity,Consumption (kWh),,,,,,,,
,,,,Demand (kW),,,,,,,,
Interior lighting - process,,x,Electricity,Consumption (kWh),,,,,,,,
,,,,Demand (kW),,,,,,,,
Refrigeration equipment,,x,Electricity,Consumption (kWh),,,,,,,,
,,,,Demand (kW),,,,,,,,
Fans - Kitchen Ventilation,,x,Electricity,Consumption (kWh),,,,,,,,
,,,,Demand (kW),,,,,,,,
Cooking,,x,Electricity,Consumption (kWh),,,,,,,,
,,,,Demand (kW),,,,,,,,
Industrial Process,,x,Electricity,Consumption (kWh),,,,,,,,
,,,,Demand (kW),,,,,,,,
Elevators and escalators,,x,Electricity,Consumption (kWh),,,,,,,,
,,,,Demand (kW),,,,,,,,
Heat Pump Supplementary,,,Electricity,Consumption (kWh),,,,,,,,
,,,,Demand (kW),,,,,,,,
Space Heating (Electricity),,x,Electricity,Consumption (kWh),,,,,,,,
,,,,Demand (kW),,,,,,,,
Misc Equipment (Natural Gas),,,Natural Gas,Consumption (kWh),,,,,,,,
,,,,Demand (kW),,,,,,,,
Auxilary (Natural Gas),,,Natural Gas,Consumption (kWh),,,,,,,,
,,,,Demand (kW),,,,,,,,
Cooling (Natural Gas),,,Natural Gas,Consumption (kWh),,,,,,,,
,,,,Demand (kW),,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,Energy_Type,Energy_Units,Baseline_0_Rotation,Baseline_90_Rotation,Baseline_180_Rotation,Baseline_270_Rotation,Baseline_Total,,,
Total energy consumption by energy type ,,,,kWh,,,,,,,,
,,,,therm,,,,,,,,
,,,,MWh,,,,,,,,
Total site energy (),,,,,,,,,,,,
Total source energy (),,,,,0,0,0,0,0,0,,
